campaign_id,campaign_name,campaign_description,discount,old_id
CAMPAIGN00001,Stick A Fork In It,YOLO tumblr Yuccie austin. - Jordi Kunde,0.01,CAMPAIGN03110
CAMPAIGN00002,Mind Your Own Beeswax,Street shoreditch viral before they sold out yr ramps skateboard skateboard bitters pabst. - Brendan Miller,0.1,CAMPAIGN11190
CAMPAIGN00003,Wouldn't You Know It,Twee retro vinyl single-origin coffee sartorial fanny pack brunch offal health. - Raleigh Senger,0.01,CAMPAIGN24776
CAMPAIGN00004,Would It Hurt,Vegan migas ramps keytar wolf cray kickstarter five dollar toast. - Adeline Brakus,0.01,CAMPAIGN29983
CAMPAIGN00005,Could Be Written On The Back Of A Postage Stamp,Fanny pack gentrify cardigan messenger bag. - Bradley Stamm,0.01,CAMPAIGN33679
CAMPAIGN00006,You Must Be New Here,Craft beer XOXO hella tacos chillwave cred organic letterpress disrupt artisan. - Rodrick Lebsack,0.01,CAMPAIGN46302
CAMPAIGN00007,Me Neither,DIY pug leggings everyday craft beer cardigan knausgaard +1 crucifix flannel. - Tremayne Nader,0.1,CAMPAIGN49972
CAMPAIGN00008,Pound For Pound,Semiotics biodiesel everyday craft beer etsy semiotics keffiyeh meditation single-origin coffee. - Bernadette Pollich,0.01,CAMPAIGN52447
CAMPAIGN00009,How Do I Get To The Train Station,Craft beer venmo lomo fixie readymade marfa. - Benny Bogan,0.2,CAMPAIGN53595
CAMPAIGN00010,On The Huh,Trust fund pinterest chambray. - Claude Aufderhar,0.05,CAMPAIGN61872
